Date,CPI_inflation_Rate,log_epu,gprc_ind
2013-01-01,11.61616161,2.124337916,0.12
2013-02-01,12.06030151,2.140981434,0.11
2013-03-01,11.44278608,2.190845506,0.09
2013-04-01,10.24390245,2.172459336,0.15
2013-05-01,10.67961166,2.087371684,0.12
2013-06-01,11.0576923,2.113737261,0.12
2013-07-01,10.8490566,2.114029288,0.08
2013-08-01,10.74766355,2.276070015,0.18
2013-09-01,10.69767441,2.206335792,0.13
2013-10-01,11.05990784,2.030676155,0.13
2013-11-01,11.46788991,1.899661238,0.16
2013-12-01,9.1324201,2.013657884,0.08
2014-01-01,7.239819004,1.978545423,0.09
2014-02-01,6.726457387,1.896029276,0.1
2014-03-01,6.696428571,1.820376659,0.24
2014-04-01,7.079646017,1.896189129,0.1
2014-05-01,7.017543859,1.949116174,0.1
2014-06-01,6.493506494,1.859842359,0.12
2014-07-01,7.234042552,2.0187291,0.15
2014-08-01,6.751054852,2.125320455,0.16
2014-09-01,6.302521009,2.06191216,0.14
2014-10-01,4.979253103,1.961500283,0.13
2014-11-01,4.11522633,2.078032711,0.15
2014-12-01,5.857740576,2.063162804,0.2
2015-01-01,7.172995791,2.080044771,0.22
2015-02-01,6.302521009,1.993211938,0.12
2015-03-01,6.276150628,1.727788184,0.13
2015-04-01,5.785123968,1.718568611,0.19
2015-05-01,5.737704919,1.799689789,0.11
2015-06-01,6.097560976,1.899074271,0.1
2015-07-01,4.365079358,1.704085246,0.19
2015-08-01,4.3478261,1.889668673,0.1
2015-09-01,5.138339974,1.930720661,0.07
2015-10-01,6.324110682,1.658969079,0.09
2015-11-01,6.719367619,1.678029853,0.21
2015-12-01,6.324110682,1.888298957,0.27
2016-01-01,5.905511811,1.846829435,0.22
2016-02-01,5.533596808,1.996570274,0.08
2016-03-01,5.511811004,1.964734968,0.15
2016-04-01,5.859375041,1.675668454,0.13
2016-05-01,6.589147306,1.724382948,0.08
2016-06-01,6.130268159,2.159164286,0.11
2016-07-01,6.463878356,1.892462574,0.28
2016-08-01,5.303030274,1.612934429,0.13
2016-09-01,4.135338258,1.516980493,0.18
2016-10-01,3.345724882,1.587562744,0.17
2016-11-01,2.592592529,1.862165076,0.12
2016-12-01,2.230483287,2.071463109,0.16
2017-01-01,1.858736056,1.924933112,0.18
2017-02-01,2.621722882,2.137988112,0.17
2017-03-01,2.611940333,1.817401363,0.14
2017-04-01,2.214022058,1.910271274,0.15
2017-05-01,1.090909051,1.593987536,0.09
2017-06-01,1.083032546,1.771366127,0.23
2017-07-01,1.785714282,1.792600945,0.14
2017-08-01,2.517985645,1.576220056,0.18
2017-09-01,2.888086695,1.892265209,0.28
2017-10-01,3.237410048,1.921138724,0.12
2017-11-01,3.971119147,1.798733352,0.16
2017-12-01,4.000000011,1.913752793,0.06
2018-01-01,5.109489023,1.595779846,0.18
2018-02-01,4.744525501,1.90259775,0.08
2018-03-01,4.363636298,1.623615504,0.13
2018-04-01,3.971119147,1.543114015,0.15
2018-05-01,3.956834545,1.574688106,0.29
2018-06-01,3.92857144,1.673626732,0.16
2018-07-01,5.614035096,1.801041487,0.18
2018-08-01,5.614035096,1.890505215,0.15
2018-09-01,5.614035096,1.802838423,0.16
2018-10-01,5.226480921,1.805609953,0.21
2018-11-01,4.861111177,1.83760854,0.18
2018-12-01,5.244755234,1.820409578,0.08
2019-01-01,6.597222285,1.811161626,0.09
2019-02-01,6.968641197,1.700009103,0.36
2019-03-01,7.665505253,1.608366643,0.31
2019-04-01,8.333333394,1.781420893,0.35
2019-05-01,8.650519017,1.922427292,0.26
2019-06-01,8.591065275,1.862450059,0.21
2019-07-01,5.980066399,1.847886152,0.17
2019-08-01,6.312292329,1.912087983,0.35
2019-09-01,6.97674419,2.023434894,0.16
2019-10-01,7.615893989,1.957434261,0.17
2019-11-01,8.609271523,1.70212609,0.08
2019-12-01,9.634551459,2.025451443,0.09
2020-01-01,7.491856628,1.682464885,0.18
2020-02-01,6.840390883,1.966841461,0.21
2020-03-01,5.501618148,2.041781144,0.12
2020-04-01,5.448717887,2.206344404,0.12
2020-05-01,5.09554141,2.224663082,0.15
2020-06-01,5.063291147,1.875911489,0.32
2020-07-01,5.32915363,2.032432439,0.23
2020-08-01,5.62500004,2.060914685,0.1
2020-09-01,5.636574345,1.915262945,0.22
2020-10-01,5.902162382,1.979947127,0.12
2020-11-01,5.284786978,1.841964304,0.18
2020-12-01,3.686635989,1.844343538,0.12
2021-01-01,3.162966043,1.922524414,0.14
2021-02-01,4.494492515,1.714140151,0.14
2021-03-01,5.665658317,1.6120666,0.31
2021-04-01,5.139859685,1.897562874,0.18
2021-05-01,5.257645589,1.864770897,0.31
2021-06-01,5.577841274,1.765880487,0.19
2021-07-01,5.263879776,1.885684864,0.19
2021-08-01,4.811441655,1.839840203,0.14
2021-09-01,4.40304832,1.689483181,0.43
2021-10-01,4.518828425,1.601476814,0.26
2021-11-01,4.837364436,1.368348296,0.16
