date,CPI_inflation_rate,epu,log_epu,gprc_bra
9/1/08,6.25053375,261.7321,2.41785699,0.07
10/1/08,6.409530261,303.3008,2.481873556,0.03
11/1/08,6.388596928,201.2302,2.303693159,0.05
12/1/08,5.902724391,320.6887,2.506083657,0.03
1/1/09,5.839344298,123.7626,2.092589424,0.01
2/1/09,5.902537475,240.2148,2.380599761,0.02
3/1/09,5.607122766,206.9263,2.315815692,0.02
4/1/09,5.533778283,142.1279,2.152679339,0.04
5/1/09,5.198622241,163.9434,2.214693938,0.01
6/1/09,4.801565436,125.3882,2.098256668,0.07
7/1/09,4.499395677,158.0436,2.198776914,0.03
8/1/09,4.363851682,97.79082,1.990298088,0.03
9/1/09,4.343100767,109.654,2.040024479,0.05
10/1/09,4.16639125,49.11081,1.691177097,0.06
11/1/09,4.21834594,82.64693,1.917226726,0.1
12/1/09,4.311650063,77.75521,1.890729499,0.06
1/1/10,4.592085979,165.1578,2.217899089,0.06
2/1/10,4.831099691,196.0115,2.292281552,0.06
3/1/10,5.16600252,105.3701,2.022717392,0.1
4/1/10,5.260260379,55.74076,1.746172886,0.09
5/1/10,5.21840309,110.4772,2.043272659,0.23
6/1/10,4.841090627,52.25697,1.718144225,0.18
7/1/10,4.600533921,70.36706,1.847369406,0.05
8/1/10,4.485543932,84.71241,1.927947037,0.06
9/1/10,4.704219597,84.33954,1.926031228,0.05
10/1/10,5.195061102,22.29631,1.348232994,0.03
11/1/10,5.634847512,88.01173,1.944540558,0.06
12/1/10,5.908688722,78.57729,1.895297047,0.07
1/1/11,5.99298735,26.86302,1.429154835,0.07
2/1/11,6.014171342,111.6055,2.047685597,0.04
3/1/11,6.298987616,173.9181,2.240344782,0.11
4/1/11,6.510256924,170.5838,2.231937785,0.04
5/1/11,6.552781653,79.12103,1.898291932,0.02
6/1/11,6.712550711,107.7116,2.032262477,0.05
7/1/11,6.872599283,123.5937,2.091996334,0.03
8/1/11,7.225226441,205.8374,2.313524288,0.06
9/1/11,7.31090206,190.2133,2.27924088,0.07
10/1/11,6.970099119,116.6125,2.066745106,0.06
11/1/11,6.641308866,146.2586,2.165121412,0.04
12/1/11,6.503352744,154.2997,2.188365082,0.06
1/1/12,6.217997654,130.606,2.115963129,0.05
2/1/12,5.849085647,96.60445,1.984997132,0.01
3/1/12,5.239991936,175.3642,2.243940938,0.05
4/1/12,5.104165719,66.50651,1.822864158,0.05
5/1/12,4.988867368,156.2057,2.193696877,0.03
6/1/12,4.915425284,176.1162,2.245799306,0.03
7/1/12,5.198414369,141.0109,2.149252684,0.03
8/1/12,5.240384039,99.7426,1.998880685,0.01
9/1/12,5.282203377,85.04139,1.92963035,0.02
10/1/12,5.449829044,104.0494,2.01723958,0.01
11/1/12,5.533837251,102.3489,2.010083179,0.02
12/1/12,5.838594718,76.76617,1.885169873,0.04
1/1/13,6.154336083,164.3462,2.215759667,0.01
2/1/13,6.312914644,69.93822,1.844714575,0.02
3/1/13,6.588765923,205.7545,2.313349342,0.02
4/1/13,6.493513984,130.4968,2.115599862,0.01
5/1/13,6.504135129,145.1582,2.161841574,0.04
6/1/13,6.695915836,131.4641,2.118807173,0.03
7/1/13,6.270692169,162.3981,2.210580944,0.04
8/1/13,6.090762064,187.289,2.272512271,0.04
9/1/13,5.858620748,126.5808,2.102367836,0.06
10/1/13,5.837484872,108.8033,2.036642068,0.04
11/1/13,5.774406724,106.0887,2.025669128,0.06
12/1/13,5.910683255,116.3469,2.065754816,0.04
1/1/14,5.585065393,136.6474,2.135601373,0.02
2/1/14,5.679517624,170.0154,2.230488262,0.02
3/1/14,6.152891009,251.1716,2.399970532,0.1
4/1/14,6.279552188,150.5236,2.177604597,0.02
5/1/14,6.37485565,97.17091,1.98753627,0.04
6/1/14,6.523283601,76.95015,1.886209471,0.04
7/1/14,6.502234311,114.6072,2.059211902,0.08
8/1/14,6.512969847,168.4329,2.226426926,0.06
9/1/14,6.746474315,198.7193,2.298240049,0.04
10/1/14,6.58724038,91.75434,1.962626616,0.02
11/1/14,6.555291342,142.0147,2.152333301,0.02
12/1/14,6.407470796,185.6092,2.268599499,0.02
1/1/15,7.137736975,193.9934,2.287786955,0.03
2/1/15,7.701587433,302.9389,2.481355044,0.02
3/1/15,8.128504661,317.2683,2.501426682,0.02
4/1/15,8.171486814,211.5163,2.325343841,0.05
5/1/15,8.472942639,146.3652,2.165437831,0.02
6/1/15,8.89442996,101.2318,2.005316959,0.02
7/1/15,9.558392612,182.9709,2.262382024,0.05
8/1/15,9.52547737,291.7728,2.465044803,0.02
9/1/15,9.492789208,457.0997,2.660010936,0.03
10/1/15,9.928892216,297.0511,2.472831165,0.03
11/1/15,10.47576729,164.9832,2.217439723,0.05
12/1/15,10.67302813,330.6095,2.519315329,0.09
1/1/16,10.70580507,306.6892,2.486698483,0.11
2/1/16,10.35588437,224.2445,2.3507218,0.01
3/1/16,9.386372371,420.9589,2.624239696,0.09
4/1/16,9.277794398,473.5259,2.675343738,0.04
5/1/16,9.32118973,221.3033,2.34498789,0.05
6/1/16,8.843747318,294.4795,2.469055067,0.01
7/1/16,8.735771055,326.6338,2.514061123,0.04
8/1/16,8.974497602,251.6847,2.400856815,0.02
9/1/16,8.475968623,250.0246,2.397982741,0.02
10/1/16,7.873670831,149.3662,2.174252332,0.03
11/1/16,6.987383298,365.7531,2.563188016,0.03
12/1/16,6.287988213,422.5248,2.625852205,0.05
1/1/17,5.354015072,330.9285,2.519734171,0.07
2/1/17,4.758907296,371.6051,2.570081666,0.02
3/1/17,4.571105116,676.955,2.8305598,0.01
4/1/17,4.082516895,550.1686,2.7404958,0.05
5/1/17,3.597256178,407.8593,2.61051037,0.03
6/1/17,2.998556992,230.97,2.363555574,0.03
7/1/17,2.711625767,267.1994,2.426835479,0.02
8/1/17,2.455908494,309.6709,2.490900396,0.06
9/1/17,2.537690933,326.515,2.513903137,0.08
10/1/17,2.701320889,190.5667,2.280047013,0.03
11/1/17,2.803785425,279.87,2.446956348,0.03
12/1/17,2.94742132,215.572,2.333592351,0.04
1/1/18,2.855116451,165.005,2.217497104,0.05
2/1/18,2.844893725,68.46358,1.835459605,0.04
3/1/18,2.680802789,101.2053,2.005203257,0.11
4/1/18,2.762797094,152.2509,2.182559869,0.04
5/1/18,2.855013307,179.8089,2.254811184,0.05
6/1/18,4.391103974,152.1932,2.182395249,0.11
7/1/18,4.48484373,182.8765,2.262157901,0.06
8/1/18,4.193015967,129.4791,2.112199672,0.08
9/1/18,4.525976016,130.2354,2.114729048,0.04
10/1/18,4.557029449,260.1669,2.415252042,0.06
11/1/18,4.046031396,177.467,2.249117608,0.04
12/1/18,3.74558117,281.9073,2.450106322,0.01
