date,CPI_inflation_rate,log_epu,gprc_bra
7/1/13,6.270692169,2.210580944,0.04
8/1/13,6.090762064,2.272512271,0.04
9/1/13,5.858620748,2.102367836,0.06
10/1/13,5.837484872,2.036642068,0.04
11/1/13,5.774406724,2.025669128,0.06
12/1/13,5.910683255,2.065754816,0.04
1/1/14,5.585065393,2.135601373,0.02
2/1/14,5.679517624,2.230488262,0.02
3/1/14,6.152891009,2.399970532,0.1
4/1/14,6.279552188,2.177604597,0.02
5/1/14,6.37485565,1.98753627,0.04
6/1/14,6.523283601,1.886209471,0.04
7/1/14,6.502234311,2.059211902,0.08
8/1/14,6.512969847,2.226426926,0.06
9/1/14,6.746474315,2.298240049,0.04
10/1/14,6.58724038,1.962626616,0.02
11/1/14,6.555291342,2.152333301,0.02
12/1/14,6.407470796,2.268599499,0.02
1/1/15,7.137736975,2.287786955,0.03
2/1/15,7.701587433,2.481355044,0.02
3/1/15,8.128504661,2.501426682,0.02
4/1/15,8.171486814,2.325343841,0.05
5/1/15,8.472942639,2.165437831,0.02
6/1/15,8.89442996,2.005316959,0.02
7/1/15,9.558392612,2.262382024,0.05
8/1/15,9.52547737,2.465044803,0.02
9/1/15,9.492789208,2.660010936,0.03
10/1/15,9.928892216,2.472831165,0.03
11/1/15,10.47576729,2.217439723,0.05
12/1/15,10.67302813,2.519315329,0.09
1/1/16,10.70580507,2.486698483,0.11
2/1/16,10.35588437,2.3507218,0.01
3/1/16,9.386372371,2.624239696,0.09
4/1/16,9.277794398,2.675343738,0.04
5/1/16,9.32118973,2.34498789,0.05
6/1/16,8.843747318,2.469055067,0.01
7/1/16,8.735771055,2.514061123,0.04
8/1/16,8.974497602,2.400856815,0.02
9/1/16,8.475968623,2.397982741,0.02
10/1/16,7.873670831,2.174252332,0.03
11/1/16,6.987383298,2.563188016,0.03
12/1/16,6.287988213,2.625852205,0.05
1/1/17,5.354015072,2.519734171,0.07
2/1/17,4.758907296,2.570081666,0.02
3/1/17,4.571105116,2.8305598,0.01
4/1/17,4.082516895,2.7404958,0.05
5/1/17,3.597256178,2.61051037,0.03
6/1/17,2.998556992,2.363555574,0.03
7/1/17,2.711625767,2.426835479,0.02
8/1/17,2.455908494,2.490900396,0.06
9/1/17,2.537690933,2.513903137,0.08
10/1/17,2.701320889,2.280047013,0.03
11/1/17,2.803785425,2.446956348,0.03
12/1/17,2.94742132,2.333592351,0.04
1/1/18,2.855116451,2.217497104,0.05
2/1/18,2.844893725,1.835459605,0.04
3/1/18,2.680802789,2.005203257,0.11
4/1/18,2.762797094,2.182559869,0.04
5/1/18,2.855013307,2.254811184,0.05
6/1/18,4.391103974,2.182395249,0.11
7/1/18,4.48484373,2.262157901,0.06
8/1/18,4.193015967,2.112199672,0.08
